Name,City,Country,Address,Category,Type/Subcategory,Current level,Suggested PlantsPack level,Confidence,Verification level,Is verified,Action,Priority,Reason,Website,Source to scrape,Google Maps search,HappyCow/source search,Phone,Opening hours,Raw opening hours,Hours note,Image scrape source,Main image,Images count,Cuisine types,Description,Latitude,Longitude,Slug,Place ID,Data quality flags,Updated at
Bingbing Cafe,Barcelona,Spain,,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Fix address / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Bingbing%20Cafe%20Barcelona%20Spain%20HappyCow,https://www.google.com/maps/search/Bingbing%20Cafe%20Barcelona%20Spain,https://www.google.com/search?q=Bingbing%20Cafe%20Barcelona%20Spain%20HappyCow,,Monday: 09:00–21:00; Tuesday: 09:00–21:00; Wednesday: 09:00–21:00; Thursday: 09:00–21:00; Friday: 09:00–21:00; Saturday: 10:30–21:00; Sunday: 10:30–21:00,"Mo-Fr 09:00-21:00; Sa, Su 10:30-21:00",Parsed from raw hours,https://www.google.com/maps/search/Bingbing%20Cafe%20Barcelona%20Spain,,0,,"This cozy café in the heart of Barcelona specializes in innovative vegan cuisine, showcasing a delightful fusion of local and international flavors. With its vibrant atmosphere, friendly staff, and standout offerings like creative plant-based tapas and refreshing smoothies, it's a beloved spot for vegans seeking both nourishment and community.",41.3896358,2.1741484,bingbing-cafe,7648293d-c07a-4679-94bb-4160f039912e,missing website; missing phone; missing address; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
BioBarri,Barcelona,Spain,18 Carrer de Méndez Núñez,store,grocery,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=BioBarri%20Barcelona%20Spain%20HappyCow,https://www.google.com/maps/search/BioBarri%2018%20Carrer%20de%20M%C3%A9ndez%20N%C3%BA%C3%B1ez%20Barcelona%20Spain,https://www.google.com/search?q=BioBarri%20Barcelona%20Spain%20HappyCow,+34 936 76 29 66,"Monday: 10:00–21:00; Tuesday: 10:00–21:00; Wednesday: 10:00–21:00; Thursday: 10:00–21:00; Friday: 10:00–21:00; Saturday: 10:30–15:00, 17:30–21:00; Sunday: Closed","Mo-Fr 10:00-21:00; Sa 10:30-15:00, 17:30-21:00; Su closed",Parsed from raw hours,https://www.google.com/maps/search/BioBarri%2018%20Carrer%20de%20M%C3%A9ndez%20N%C3%BA%C3%B1ez%20Barcelona%20Spain,,0,,"Vegan-friendly grocery store in Barcelona, Spain.",41.3903303,2.1772912,biobarri-barcelona,6529c113-f63b-4b15-9296-0ef8b2a833d6,missing website; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Biocenter,Barcelona,Spain,25 Carrer del Pintor Fortuny,eat,restaurant,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://restaurantebiocenter.es,https://restaurantebiocenter.es,https://www.google.com/maps/search/Biocenter%2025%20Carrer%20del%20Pintor%20Fortuny%20Barcelona%20Spain,https://www.google.com/search?q=Biocenter%20Barcelona%20Spain%20HappyCow,+34 933 014 583,Monday: 10:00–23:00; Tuesday: 10:00–23:00; Wednesday: 10:00–23:00; Thursday: 10:00–23:00; Friday: 10:00–23:30; Saturday: 13:00–23:30; Sunday: 13:00–16:00,Mo-Th 10:00-23:00; Fr 10:00-23:30; Sa 13:00-23:30; Su 13:00-16:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/3fad94a1-1149-4b71-9981-913b43b1f63b.webp?v=mp1xsgin,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/3fad94a1-1149-4b71-9981-913b43b1f63b.webp?v=mp1xsgin,2,,"Vegan-friendly restaurant in Barcelona, Spain.",41.3825765,2.1694364,biocenter-barcelona,3fad94a1-1149-4b71-9981-913b43b1f63b,low verification; generic/AI-like description,2026-05-12T01:13:11.349013+00:00
Biscuiter,Barcelona,Spain,78 Carrer de Sant Pere Més Alt,eat,,Vegan friendly,Vegan friendly,Medium,1,False,Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://www.biscuiter.com/,https://www.biscuiter.com/,https://www.google.com/maps/search/Biscuiter%2078%20Carrer%20de%20Sant%20Pere%20M%C3%A9s%20Alt%20Barcelona%20Spain,https://www.google.com/search?q=Biscuiter%20Barcelona%20Spain%20HappyCow,+34 902 334 556,Monday: 08:00–20:00; Tuesday: 08:00–20:00; Wednesday: 08:00–20:00; Thursday: 08:00–20:00; Friday: 08:00–20:00; Saturday: 10:00–20:00; Sunday: 10:00–20:00,Mo-Fr 08:00-20:00; Sa-Su 10:00-20:00,Parsed from raw hours,https://www.biscuiter.com/,,0,,"A charming vegan café in the heart of Barcelona, this spot is celebrated for its creative plant-based dishes and delightful baked goods. With a cozy atmosphere and standout offerings like rich chocolate cakes and savory brunch options, it’s a beloved haven for vegans and food lovers alike.",41.3893177,2.1786261,biscuiter,5053517c-cc82-41a2-a6ce-8a1ee8e29f5d,missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Blu Bar,Barcelona,Spain,"11 Rambla del Poblenou, Barcelona, 08005, Spain",eat,restaurant,100% vegan,100% vegan,Medium,2,False,Verify 100% vegan,P0,Marked/indicated as fully vegan; verify against official source if not already verification level 3.,https://blubar.es/,https://blubar.es/,https://www.google.com/maps/search/Blu%20Bar%2011%20Rambla%20del%20Poblenou%2C%20Barcelona%2C%2008005%2C%20Spain%20Barcelona%20Spain,https://www.google.com/search?q=Blu%20Bar%20Barcelona%20Spain%20HappyCow,+34 932 21 09 71,Monday: 12:00–00:00; Tuesday: 12:00–00:00; Wednesday: 12:00–00:00; Thursday: 12:00–00:00; Friday: 12:00–02:00; Saturday: 12:00–02:00; Sunday: 12:00–00:00,Mo 12:00-00:00; Tu 12:00-00:00; We 12:00-00:00; Th 12:00-00:00; Fr 12:00-02:00; Sa 12:00-02:00; Su 12:00-00:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/e1e310f5-c006-4467-b476-fb98f0ff95ad.webp?v=mp2iugnd,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/e1e310f5-c006-4467-b476-fb98f0ff95ad.webp?v=mp2iugnd,2,"italian, tapas, pizza","Plant-based restaurant on the Rambla del Poblenou in Barcelona. Everything homemade. Tapas, pizzas, sandwiches, burgers... and the best homemade kombucha.",41.3983358,2.2045648,blu-bar-barcelona,e1e310f5-c006-4467-b476-fb98f0ff95ad,,2026-05-12T11:02:36.790328+00:00
Bodevici,Barcelona,Spain,21 Carrer de Torrijos,eat,,Vegan friendly,Vegan friendly,Medium,1,False,Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://bodevici.com/,https://bodevici.com/,https://www.google.com/maps/search/Bodevici%2021%20Carrer%20de%20Torrijos%20Barcelona%20Spain,https://www.google.com/search?q=Bodevici%20Barcelona%20Spain%20HappyCow,,Monday: 16:30–21:00; Tuesday: 16:30–21:00; Wednesday: 16:30–21:00; Thursday: 16:30–21:00; Friday: 16:30–23:45; Saturday: 12:30–23:45; Sunday: 12:30–23:30,Mo-Th 16:30-21:00; Fr 16:30-23:45; Sa 12:30-23:45; Su 12:30-23:30; PH off,Public holiday info removed,https://bodevici.com/,,0,,"This charming vegan café in Barcelona is celebrated for its innovative plant-based dishes and commitment to sustainability. With a cozy atmosphere, Bodevici offers an array of flavorful meals and artisanal beverages, making it a beloved spot for both vegans and those seeking delicious, healthy options.",41.4033939,2.1587822,bodevici,658eca89-dc67-4361-9dc0-af9fc8eb869c,missing phone; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
botanic,Barcelona,Spain,26 Carrer de Torrijos,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add hours / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=botanic%20Barcelona%20Spain%20HappyCow,https://www.google.com/maps/search/botanic%2026%20Carrer%20de%20Torrijos%20Barcelona%20Spain,https://www.google.com/search?q=botanic%20Barcelona%20Spain%20HappyCow,930 02 27 79,,,Missing hours,https://www.google.com/maps/search/botanic%2026%20Carrer%20de%20Torrijos%20Barcelona%20Spain,,0,,"Vegan-friendly cafe in Barcelona, Spain.",41.403202,2.159102,botanic-barcelona,f51506b5-e458-47dc-b395-67706e2d18b5,missing website; missing hours; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Buenas Migas,Barcelona,Spain,6 Plaça del Bonsuccés,eat,cafe,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://www.buenasmigas.com,http://www.buenasmigas.com,https://www.google.com/maps/search/Buenas%20Migas%206%20Pla%C3%A7a%20del%20Bonsucc%C3%A9s%20Barcelona%20Spain,https://www.google.com/search?q=Buenas%20Migas%20Barcelona%20Spain%20HappyCow,+34 933 18 37 08,Monday: 08:00–00:00; Tuesday: 08:00–00:00; Wednesday: 08:00–00:00; Thursday: 08:00–00:00; Friday: 08:00–00:00; Saturday: 08:00–01:00; Sunday: 08:00–01:00,Mo-Fr 08:00-00:00; Sa-Su 08:00-01:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/7c6e412e-4076-4fc4-8f86-7503a8eeaee8.webp?v=mp23m4th,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/7c6e412e-4076-4fc4-8f86-7503a8eeaee8.webp?v=mp23m4th,2,coffee_shop,"Vegan-friendly coffee_shop cafe in Barcelona, Spain.",41.3838044,2.1696233,buenas-migas-barcelona,7c6e412e-4076-4fc4-8f86-7503a8eeaee8,low verification,2026-05-12T03:56:13.948502+00:00
Bykate,Barcelona,Spain,379 Carrer de Còrsega,eat,cafe,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Bykate%20Barcelona%20Spain%20HappyCow,https://www.google.com/maps/search/Bykate%20379%20Carrer%20de%20C%C3%B2rsega%20Barcelona%20Spain,https://www.google.com/search?q=Bykate%20Barcelona%20Spain%20HappyCow,,Monday: 08:30–20:30; Tuesday: 08:30–20:30; Wednesday: 08:30–20:30; Thursday: 08:30–20:30; Friday: 08:30–20:30; Saturday: 09:30–19:30; Sunday: 09:30–19:30,"Mo-Fr 08:30-20:30; Sa,Su 09:30-19:30",Parsed from raw hours,https://www.google.com/maps/search/Bykate%20379%20Carrer%20de%20C%C3%B2rsega%20Barcelona%20Spain,,0,,"Vegan-friendly cafe in Barcelona, Spain.",41.3993326,2.1628231,bykate-barcelona,0d0bfd11-57f2-4045-85f5-5e038847dead,missing website; missing phone; missing image; low verification,2026-05-11T08:35:32.871828+00:00
Cafe Cometa,Barcelona,Spain,20 Carrer del Parlament,eat,cafe,Vegan friendly,Vegan friendly,Medium,1,False,Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://cafecometa.com,http://cafecometa.com,https://www.google.com/maps/search/Cafe%20Cometa%2020%20Carrer%20del%20Parlament%20Barcelona%20Spain,https://www.google.com/search?q=Cafe%20Cometa%20Barcelona%20Spain%20HappyCow,930 07 32 03,Monday: Closed; Tuesday: 09:00–19:00; Wednesday: 09:00–19:00; Thursday: 09:00–19:00; Friday: 09:00–20:00; Saturday: 10:00–20:00; Sunday: 10:00–20:00,"Tu-Th 09:00-19:00; Fr 09:00-20:00; Sa,Su 10:00-20:00",Unspecified weekdays set to Closed,http://cafecometa.com,,0,,"Vegan-friendly cafe in Barcelona, Spain.",41.375859,2.1620242,cafe-cometa-barcelona,ee6c5639-e18c-4675-93e6-ef0c47f9c476,missing image; low verification,2026-05-11T08:35:32.871828+00:00
Café Floh,Barcelona,Spain,,eat,,Vegan friendly,Vegan friendly,Low,1,False,Find website/source / Fix address / Add hours / Add image,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,,https://www.google.com/search?q=Caf%C3%A9%20Floh%20Barcelona%20Spain%20HappyCow,https://www.google.com/maps/search/Caf%C3%A9%20Floh%20Barcelona%20Spain,https://www.google.com/search?q=Caf%C3%A9%20Floh%20Barcelona%20Spain%20HappyCow,,,,Missing hours,https://www.google.com/maps/search/Caf%C3%A9%20Floh%20Barcelona%20Spain,,0,,"This vibrant vegan café offers a delightful array of plant-based dishes, from hearty brunch options to exquisite desserts, all crafted with fresh, local ingredients. With its cozy ambiance, friendly staff, and a commitment to sustainability, it's a beloved spot for vegans and food lovers alike in the heart of Barcelona.",41.4051014,2.155411,cafe-floh,25576008-5dd0-414f-bf47-7dcfc285696e,missing website; missing phone; missing hours; missing address; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Café Lilo,Barcelona,Spain,"Carrer de la Diputació, Barcelona, 08013, España",eat,restaurant,Mostly vegan,Mostly vegan,Medium,1,False,Keep / monitor,P3,"Strong plant-based/vegetarian or mostly vegan signal, but not enough evidence that everything is vegan.",https://lilobrunch.com,https://lilobrunch.com,https://www.google.com/maps/search/Caf%C3%A9%20Lilo%20Carrer%20de%20la%20Diputaci%C3%B3%2C%20Barcelona%2C%2008013%2C%20Espa%C3%B1a%20Barcelona%20Spain,https://www.google.com/search?q=Caf%C3%A9%20Lilo%20Barcelona%20Spain%20HappyCow,,Monday: 09:30–17:00; Tuesday: 09:30–17:00; Wednesday: 09:30–17:00; Thursday: 09:30–17:00; Friday: 09:30–17:00; Saturday: 09:30–18:00; Sunday: 09:30–18:00,Mo 09:30-17:00; Tu 09:30-17:00; We 09:30-17:00; Th 09:30-17:00; Fr 09:30-17:00; Sa 09:30-18:00; Su 09:30-18:00,Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/afe1c763-58ce-4373-922c-e57f9de975cf.webp?v=mp2dv4x0,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/afe1c763-58ce-4373-922c-e57f9de975cf.webp?v=mp2dv4x0,2,,"🥞 Enjoy our delicious Brunch in Barcelona and Madrid 🌱. We are specialty coffee roasters, accompanied by a selection of vegan pastries.",41.3998061,2.179381,cafe-lilo-barcelona,afe1c763-58ce-4373-922c-e57f9de975cf,missing phone; low verification,2026-05-12T08:43:10.148434+00:00
Caj Chai,Barcelona,Spain,12 Carrer de Salomó ben Adret,eat,cafe,Vegan friendly,Vegan friendly,Medium,1,False,Keep / monitor,P3,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://cajchai.com,https://cajchai.com,https://www.google.com/maps/search/Caj%20Chai%2012%20Carrer%20de%20Salom%C3%B3%20ben%20Adret%20Barcelona%20Spain,https://www.google.com/search?q=Caj%20Chai%20Barcelona%20Spain%20HappyCow,+34 93 301 9592,"Monday: 15:00–20:00""offduringreservations(seewebsite)""; Tuesday: 15:00–20:00""offduringreservations(seewebsite)""; Wednesday: 15:00–20:00""offduringreservations(seewebsite)""; Thursday: 15:00–20:00""offduringreservations(seewebsite)""; Friday: 15:00–20:00""offduringreservations(seewebsite)""; Saturday: 15:00–20:00""offduringreservations(seewebsite)""; Sunday: 15:00–20:00""offduringreservations(seewebsite)""","Mo-Su 15:00-20:00 ""off during reservations (see website)""",Parsed from raw hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/9d28c925-58b7-426f-89fe-957adea56b9f.webp?v=mp26wk91,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/9d28c925-58b7-426f-89fe-957adea56b9f.webp?v=mp26wk91,2,teahouse,"Vegan-friendly teahouse cafe in Barcelona, Spain.",41.3828733,2.175566,caj-chai-barcelona,9d28c925-58b7-426f-89fe-957adea56b9f,low verification,2026-05-12T05:28:19.35408+00:00
Cantina Lab,Barcelona,Spain,,eat,,Vegan friendly,Vegan friendly,Low,1,False,Fix address / Add hours,P1,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,http://cantinalab.coop/,http://cantinalab.coop/,https://www.google.com/maps/search/Cantina%20Lab%20Barcelona%20Spain,https://www.google.com/search?q=Cantina%20Lab%20Barcelona%20Spain%20HappyCow,+34 937444799,,,Missing hours,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/ae8b3ca9-a74b-42d8-960b-0d73d5d87998.jpg,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/ae8b3ca9-a74b-42d8-960b-0d73d5d87998.jpg,0,,"This vibrant café is dedicated to crafting innovative vegan dishes using locally-sourced ingredients, making it a go-to spot for plant-based cuisine enthusiasts. With a cozy atmosphere and standout offerings like their signature jackfruit tacos and luscious smoothie bowls, it’s a haven where vegans can indulge guilt-free.",41.3674565,2.1377153,cantina-lab,ae8b3ca9-a74b-42d8-960b-0d73d5d87998,missing hours; missing address; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
Casa Figari,Barcelona,Spain,141 Carrer del Torrent de l'Olla,eat,bar,Vegan friendly,Vegan friendly,Medium,1,False,Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://www.uaybalam.com/,https://www.uaybalam.com/,https://www.google.com/maps/search/Casa%20Figari%20141%20Carrer%20del%20Torrent%20de%20l%27Olla%20Barcelona%20Spain,https://www.google.com/search?q=Casa%20Figari%20Barcelona%20Spain%20HappyCow,+34 935 147 528,Monday: 10:00–21:00; Tuesday: 10:00–21:00; Wednesday: 10:00–21:00; Thursday: 10:00–21:00; Friday: 10:00–23:00; Saturday: 10:00–23:00; Sunday: 10:00–21:00,Mo-Su 10:00-21:00; Fr-Sa 10:00-23:00,Parsed from raw hours,https://www.uaybalam.com/,,0,,"Vegan-friendly bar in Barcelona, Spain.",41.4035201,2.1555614,casa-figari-barcelona,cc3ab6f0-5526-4f1b-8cdf-1ee802bf959c,missing image; low verification,2026-05-11T08:35:32.871828+00:00
Cat Bar,Barcelona,Spain,c/ Boria 17,eat,,100% vegan,100% vegan,Medium,2,False,Add hours / Add image / Verify 100% vegan,P0,Marked/indicated as fully vegan; verify against official source if not already verification level 3.,https://www.facebook.com/CatBarCAT,https://www.facebook.com/CatBarCAT,https://www.google.com/maps/search/Cat%20Bar%20c/%20Boria%2017%20Barcelona%20Spain,https://www.google.com/search?q=Cat%20Bar%20Barcelona%20Spain%20HappyCow,+34693584700,,,Missing hours,https://www.facebook.com/CatBarCAT,,0,,All Vegan Bar/Restaurant with 20+ Local Catalan and BrewDog beers,41.3846,2.17881,cat-bar-barcelona,25c05adc-9b5b-473f-a676-a0ec63d5011b,missing hours; missing image,2026-05-11T08:35:32.871828+00:00
CatBar,Barcelona,Spain,"29 Carrer de la Mercè, Barcelona, 08002, Spain",eat,restaurant,100% vegan,100% vegan,Medium,2,False,Verify 100% vegan,P0,Marked/indicated as fully vegan; verify against official source if not already verification level 3.,https://catbarcat.wixsite.com/menu,https://catbarcat.wixsite.com/menu,https://www.google.com/maps/search/CatBar%2029%20Carrer%20de%20la%20Merc%C3%A8%2C%20Barcelona%2C%2008002%2C%20Spain%20Barcelona%20Spain,https://www.google.com/search?q=CatBar%20Barcelona%20Spain%20HappyCow,+34 931 294274,"Monday: Closed; Tuesday: 19:00–23:00; Wednesday: 19:00–23:00; Thursday: 13:00–16:00, 18:30–23:00; Friday: 14:00–23:00; Saturday: 13:00–23:00; Sunday: 12:45–16:00","Tu 19:00-23:00; We 19:00-23:00; Th 13:00-16:00,18:30-23:00; Fr 14:00-23:00; Sa 13:00-23:00; Su 12:45-16:00",Unspecified weekdays set to Closed,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/ec288e5e-8111-4c34-8800-85b1fed1a6fe.webp?v=mp2jv9eb,https://mfeelaqjbtnypoojhfjp.supabase.co/storage/v1/object/public/place-images/ec288e5e-8111-4c34-8800-85b1fed1a6fe.webp?v=mp2jv9eb,2,burger,"Fully vegan restaurant serving burger cuisine in Barcelona, Spain.",41.3810196,2.1809626,catbar-barcelona,ec288e5e-8111-4c34-8800-85b1fed1a6fe,,2026-05-12T11:31:13.677971+00:00
Chevy's Bar,Barcelona,Spain,26P Carrer Port Esportiu,eat,restaurant,Vegan friendly,Vegan friendly,Low,1,False,Add hours / Add image,P2,Vegan-relevant mixed place; likely comfortable for vegans but not fully/mostly vegan.,https://chevysbar.com,https://chevysbar.com,https://www.google.com/maps/search/Chevy%27s%20Bar%2026P%20Carrer%20Port%20Esportiu%20Barcelona%20Spain,https://www.google.com/search?q=Chevy%27s%20Bar%20Barcelona%20Spain%20HappyCow,+34 934 31 30 09,,,Missing hours,https://chevysbar.com,,0,,"Vegan-friendly restaurant in Barcelona, Spain.",41.4143731,2.2289499,chevy-s-bar-barcelona,0d644cae-ce39-41d9-8bf1-7b2e3996a428,missing hours; missing image; low verification; generic/AI-like description,2026-05-11T08:35:32.871828+00:00
