priority,action_type,record_status,current_id,current_slug,name,city,country,current_level,target_level,action_for_agent,why_this_matters_for_100_percent_layer,current_address,suggested_address,current_website,suggested_website,current_phone,suggested_phone,current_opening_hours,suggested_opening_hours,official_source_to_scrape,happycow_or_secondary_source,google_maps_search,evidence_summary,fields_to_fix,duplicate_or_merge_target,confidence,last_checked_by_agent
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,a07147e5-7a7c-40c0-a7a6-7ed970c88971,mc-chevap,MC CHEVAP,Kukuljanovo,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",,,,,,,,,,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/MC%20CHEVAP%20Kukuljanovo%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"website, phone, opening hours, address, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,e573dbe3-70fa-4b39-9708-cb6f407f1c3f,passarola-restaurant-hvar,Passarola Restaurant,Hvar,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",10 Dr. Mate Miličića,,https://restaurant-passarola.eu/,,+385 91 538 4123,,Mo-Su 12:00-01:00,,https://restaurant-passarola.eu/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Passarola%20Restaurant%20Hvar%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,,,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,21a2112a-2195-4b0e-811c-6b79b6d9613d,plac-kitchen-and-grill,Plac Kitchen & Grill,Zagreb,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",,,https://plac-zagreb.com/,,+38514876761,,Mo-Sa 10:00-23:00; Su 11:00-23:00,,https://plac-zagreb.com/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Plac%20Kitchen%20&%20Grill%20Zagreb%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"address, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,19b7e5a0-3119-4da6-8c2b-c7bc95ea2d6e,restoran-agora-dubrovnik,Restoran Agora,Dubrovnik,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",20 Šetalište kralja Zvonimira,,https://www.hotelperladubrovnik.com/restaurant-agora/,,+385 20 438 244,,,,https://www.hotelperladubrovnik.com/restaurant-agora/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Restoran%20Agora%20Dubrovnik%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,opening hours,,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,0b80767b-4ee2-4bdf-a05d-554f6decd7dd,submarine,Submarine,Rijeka,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",,,https://submarineburger.com,,,,,,https://submarineburger.com,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Submarine%20Rijeka%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"phone, opening hours, address, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,0edb4c2e-8a4e-4f62-92e5-4a33947b066d,submarine-city-of-zagreb,Submarine,Zagreb,Croatia,vegan_options,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",11 Frankopanska ulica,,https://submarineburger.com,,,,"Mo-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00",,https://submarineburger.com,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Submarine%20Zagreb%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,phone,,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,95d64805-3cea-4f20-bac4-433362b50d5a,submarine-burger,Submarine Burger,Split,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",,,https://submarineburger.com/lokacija/split-hr/,,+385 21 272 960,,Mo-Su 11:00-23:00,,https://submarineburger.com/lokacija/split-hr/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Submarine%20Burger%20Split%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,"address, main image",,High,2026-05-17
P2,DOWNGRADE_MEAT_HEAVY_NOISE,existing,3f622020-60a3-4d01-bb2a-f7f3f359a668,submarine-burger-city-of-varazdin,Submarine Burger,Varazdin,Croatia,vegan_friendly,vegan_options,Keep only as Vegan options unless official menu proves unusually strong plant-based offer.,"To make the 100% vegan layer trusted, prevent meat-heavy venues from appearing vegan-forward.",24 Ulica Petra Preradovića,,https://submarineburger.com/,,+385 42 557 107,,Mo-Su 11:00-23:00,,https://submarineburger.com/,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Submarine%20Burger%20Varazdin%20Croatia,Burger/fish/seafood/kebab/grill concepts should not be Vegan friendly under PlantsPack rules.,,,High,2026-05-17
P0,ADD_MISSING_SOURCE_CANDIDATE,missing,,,superplanty,Zagreb,Croatia,missing,fully_vegan,"Add as 100% vegan after Google/official/social status check; scrape address, phone, hours, images.",HappyCow lists as fully vegan cafe and it is missing from PlantsPack; adding it closes an obvious 100% vegan gap.,,,,,,,,,https://www.instagram.com/superplanty/ or official website if available,https://www.happycow.net/reviews/superplanty-zagreb-378212,https://www.google.com/maps/search/superplanty%20Zagreb%20Croatia,"HappyCow: fully vegan cafe with tofu scramble, smoothie bowls and house-made plant milk; hours listed.","all fields: address, website, phone, opening hours, images, description",,High,2026-05-17
P2,ADD_MISSING_SOURCE_CANDIDATE,missing,,,Swanky Monkey Garden,Zagreb,Croatia,missing,vegan_friendly_or_options,"Add/review only as vegan-friendly/options, not 100% vegan.",Useful HappyCow ambassador favorite but not a 100% vegan gap.,,,,,,,,,https://swanky-hostel.com/ or official venue page,https://www.happycow.net/europe/croatia/zagreb/,https://www.google.com/maps/search/Swanky%20Monkey%20Garden%20Zagreb%20Croatia,HappyCow Zagreb ambassador favorite; likely mixed venue.,"all fields: address, website, phone, opening hours, images, description",,Medium,2026-05-17
P2,ADD_MISSING_SOURCE_CANDIDATE,missing,,,Upcafe,Split,Croatia,missing,vegan_friendly_or_mostly_vegan,Add/review if still open; classify below 100% unless official menu is fully vegan.,"Valuable Split vegan-friendly place, but not needed for 100% vegan claim unless confirmed fully vegan.",,,,,,,,,Official/social page,https://www.happycow.net/europe/croatia/split/,https://www.google.com/maps/search/Upcafe%20Split%20Croatia,HappyCow Split lists Upcafe among veg-friendly restaurants.,"all fields: address, website, phone, opening hours, images, description",,Medium,2026-05-17
P3,ADD_MISSING_SOURCE_CANDIDATE,missing,,,Tvornica Zdrave Hrane,Split/Zagreb/multiple,Croatia,missing,store_vegan_options,"Add selectively as health-food store for supplies, not 100% vegan restaurant layer.",Good vegan travel utility but do not count as fully vegan restaurant.,,,,,,,,,https://www.tvornicazdravehrane.com/,https://myvegantravels.com/destinations/vegan-restaurants-split/,https://www.google.com/maps/search/Tvornica%20Zdrave%20Hrane%20Split/Zagreb/multiple%20Croatia,Vegan travel guide recommends as a food/supplies option.,"all fields: address, website, phone, opening hours, images, description",,Medium,2026-05-17
P0,METHODOLOGY_TASK,dataset,,,Croatia 100% vegan layer methodology,All Croatia,Croatia,n/a,n/a,"After fixes, publish/record a verification date for every 100% vegan record: official source checked, Google Maps status checked, HappyCow cross-check, and owner/social check where needed.","This is what makes PlantsPack better than HappyCow: not just more rows, but fresher manually verified 100% vegan rows.",,,,,,,,,PlantsPack internal verification workflow,https://www.happycow.net/europe/croatia/,https://www.google.com/maps/search/Croatia%20100%%20vegan%20layer%20methodology%20All%20Croatia%20Croatia,"Current export has 115 places/29 fully vegan, but multiple fully vegan rows are duplicated, incomplete, or closed.","last_verified_date, verification_sources, open_status, vegan_scope",,High,2026-05-17
